Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C23, C32, C36, C38, C39, C4, C41, C45, C55, C56, C9",0603,13,100n,C14663
"C10, C11, C12, C15, C16, C17, C18, C19, C20, C21, C22, C24, C25, C26, C30, C42, C43, C47, C49, C5, C51, C53, C54, C57, C58, C59, C6, C61, C62, C63, C7, C8",0603,32,10u,C96446
C13,0603,1,100p,C14858
"C2, C3",0603,2,220p,C1603
"C27, C34",0603,2,10n,C57112
"C28, C29",0603,2,1n,C1588
"C31, C33",0603,2,47p,C1671
C35,0603,1,47n,C1622
"C37, C40",1206,2,47u,C96123
C46,0603,1,1u,C15849
"D1, D11, D12, D13, D15, D2, D23",SOT-23,7,BAV99,C2500
"D10, D16, D24, D6",0805,4,GREEN_LED,C2297
"D17, D18, D19, D22, D3, D4, D5, D7, D8, D9",D_SOD-323,10,1N5819WS,C191023
J1,PinSocket_1x08_P2.54mm_Vertical,1,PC referenced connector,
J12,PinSocket_1x08_P2.54mm_Vertical,1,Load referenced connector,
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"JP1, JP2, JP3, JP4, JP5",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,5,Jumper_2_Open,
"L1, L2, L4",L_Bourns_SRN6045TA,3,220u,
"Q1, Q12, Q15, Q16, Q26, Q27, Q28, Q29, Q4, Q6, Q7, Q8",SOT-23,12,MMBT5551L,C2145
"Q10, Q11, Q13",SOT-23,3,AO3400A,C20917
"Q14, Q17, Q18, Q2, Q3, Q5, Q9",SOT-23,7,MMBT5401,C8326
"R1, R14, R19, R22, R23, R32, R40, R49, R6, R9",0603,10,1k,C22962
"R10, R15, R18, R20, R26",0603,5,10,C22859
"R11, R12, R43, R44, R45, R47",1206,6,100m,C25334
"R13, R16, R21, R27, R37, R38",0603,6,100k,C25803
"R17, R39",0603,2,470k,C23178
"R2, R4, R46, R48, R50, R51",0603,6,100,C22775
R24,0603,1,39k,C23153
"R25, R36",0603,2,2.2k,C4190
"R28, R31, R33, R42, R52, R65, R7, R8",0603,8,10k,C25804
"R29, R30",0603,2,22,C23345
"R3, R5",0603,2,220,C22962
"R34, R35",0603,2,5.1k,C23186
R41,0603,1,15k,C22809
R60,0603,1,1Meg,C22935
"T1, T2",UMEC_UT20A13S,2,UMEC_UT20A13S,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,29,TestPoint,
"U1, U3",SMDIP-4_W9.53mm,2,LTV-817S,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MC34063AD,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14D653,C5605
