Designator,Mid X,Mid Y,Rotation,Layer
C1,34.1,31.7,180.0,bottom
C10,57.1,6.5375,270.0,bottom
C11,58.6,10.0,90.0,bottom
C12,57.1,10.0,90.0,bottom
C13,65.05,44.6,0.0,bottom
C14,61.8,32.9,180.0,bottom
C15,66.9,27.3,180.0,bottom
C16,66.9,28.8,180.0,bottom
C17,66.9,30.3,180.0,bottom
C18,66.9,31.8,180.0,bottom
C19,70.25,27.3,180.0,bottom
C2,39.9,52.5125,90.0,bottom
C20,70.25,28.8,180.0,bottom
C21,70.25,30.3,180.0,bottom
C22,70.25,31.8,180.0,bottom
C23,67.5,34.3,90.0,bottom
C24,66.0,34.3,90.0,bottom
C25,53.7,42.7,180.0,bottom
C26,69.0,34.3,90.0,bottom
C27,14.8,9.1,90.0,bottom
C28,24.7,16.1,90.0,bottom
C29,37.0,26.3,180.0,bottom
C3,41.4,52.5125,90.0,bottom
C30,12.6,41.9,90.0,bottom
C31,16.8,48.4,0.0,bottom
C32,70.5,34.3,90.0,bottom
C33,22.3,47.5,270.0,bottom
C34,16.8,46.6,180.0,bottom
C35,83.9,35.4625,90.0,bottom
C36,42.3,30.1,270.0,bottom
C37,78.3,34.2,90.0,bottom
C38,33.7,13.1,90.0,bottom
C39,12.1,15.2,180.0,bottom
C4,31.0,50.05,270.0,bottom
C40,78.3,29.1,270.0,bottom
C41,13.3,28.9,270.0,bottom
C42,67.3,6.1,270.0,bottom
C43,67.3,9.4,90.0,bottom
C45,65.42,55.05,270.0,bottom
C46,66.92,55.05,270.0,bottom
C47,90.7,35.4,90.0,bottom
C49,89.2,35.4,90.0,bottom
C5,29.2,55.15,90.0,bottom
C51,87.7,35.4,90.0,bottom
C53,86.2,35.4,90.0,bottom
C54,33.9,42.45,0.0,bottom
C55,36.4,46.6125,90.0,bottom
C56,85.525,10.1,0.0,bottom
C57,85.525,14.6,0.0,bottom
C58,85.5375,13.1,0.0,bottom
C59,85.5375,11.6,0.0,bottom
C6,27.6,55.15,90.0,bottom
C61,37.9,43.3125,270.0,bottom
C62,36.4,43.3125,270.0,bottom
C63,37.9,46.6125,90.0,bottom
C7,26.0,55.15,90.0,bottom
C8,30.8,55.15,90.0,bottom
C9,58.6,6.5375,270.0,bottom
D1,12.0,9.1,180.0,bottom
D10,11.5,57.6,0.0,bottom
D11,21.9,16.1,180.0,bottom
D12,18.0,12.6,0.0,bottom
D13,40.8,26.6,0.0,bottom
D15,66.3,48.2,180.0,bottom
D16,70.1,9.8,270.0,bottom
D17,33.95,44.25,0.0,bottom
D18,82.3,28.5,90.0,bottom
D19,81.3,37.1,180.0,bottom
D2,30.2375,32.35,0.0,bottom
D22,88.9,13.7,90.0,bottom
D23,33.6625,28.8,180.0,bottom
D24,93.8,10.7,0.0,bottom
D3,61.1,35.3,90.0,bottom
D4,61.28,12.35,0.0,bottom
D5,33.95,46.25,0.0,bottom
